No Transaksi	Tanggal	Jam	Nama Menu	Kategori Menu	Qty	Harga Satuan	Total	Pembayaran	Shift
T-163	25/1/26	20.11	Tahu Walik	Makanan	1	Rp10.000,00	Rp20.000,00	Cash	Malam
T-163	25/1/26	20.11	Jeniper Dingin	Minuman	1	Rp10.000,00	Rp20.000,00	Cash	Malam
T-180	27/1/26	20.01	Sanger Dingin	Minuman	2	Rp30.000,00	Rp60.000,00	Cash	Malam
T-180	27/1/26	20.01	Es Kopi Susu Gula Aren	Minuman	1	Rp15.000,00	Rp60.000,00	Cash	Malam
T-180	27/1/26	20.01	Coffe Bir	Minuman	1	Rp15.000,00	Rp60.000,00	Cash	Malam
T-176	26/1/26	17.20	Jeniper Dingin	Minuman	2	Rp20.000,00	Rp116.000,00	Qris	Siang
T-176	26/1/26	17.20	Taro Dingin	Minuman	1	Rp15.000,00	Rp116.000,00	Qris	Siang
T-176	26/1/26	17.20	Taro Dingin	Minuman	1	Rp15.000,00	Rp116.000,00	Qris	Siang
T-176	26/1/26	17.20	Matcha Dingin	Minuman	1	Rp15.000,00	Rp116.000,00	Qris	Siang
T-176	26/1/26	17.20	Americano Dingin	Minuman	1	Rp15.000,00	Rp116.000,00	Qris	Siang
T-176	26/1/26	17.20	Sanger Dingin	Minuman	1	Rp15.000,00	Rp116.000,00	Qris	Siang
T-176	26/1/26	17.20	Straca	Minuman	2	Rp36.000,00	Rp116.000,00	Qris	Siang
T-129	23/1/26	22.36	Coffe Latte Dingin	Minuman	1	Rp15.000,00	Rp15.000,00	Cash	Malam
T-132	23/1/26	23.01	Tahu Walik	Makanan	2	Rp20.000,00	Rp20.000,00	Cash	Malam
T-177	27/1/26	16.59	Sanger Dingin	Minuman	1	Rp15.000,00	Rp38.000,00	Cash	Siang
T-177	27/1/26	16.59	Es Kopi Susu Gula Aren	Minuman	1	Rp15.000,00	Rp38.000,00	Cash	Siang
T-177	27/1/26	16.59	Es Teh	Minuman	1	Rp8.000,00	Rp38.000,00	Cash	Siang
T-189	27/1/26	22.05	Es Kopi Hazelnut	Minuman	1	Rp18.000,00	Rp33.000,00	Cash	Siang
T-189	27/1/26	22.05	Es Kopi Susu Gula Aren	Minuman	1	Rp15.000,00	Rp33.000,00	Cash	Siang
T-158	25/1/26	18.00	Es Kopi Hazelnut	Minuman	1	Rp18.000,00	Rp18.000,00	Cash	Siang
T-144	25/1/26	22.01	Japaness	Minuman	1	Rp20.000,00	Rp28.000,00	Cash	Malam
T-144	25/1/26	22.01	Es Teh	Minuman	1	Rp8.000,00	Rp28.000,00	Cash	Malam
T-139	24/1/26	20.10	Sanger Dingin	Minuman	2	Rp30.000,00	Rp66.000,00	Cash	Malam
T-139	24/1/26	20.10	The Susu Dingin	Minuman	3	Rp36.000,00	Rp66.000,00	Cash	Malam
